category,case_id,gold_label,raw_f1_percent,dual_f1_percent,raw_spans_console,dual_spans_console,note
clean_false_positive_corrected,15458,clean,0.0,100.0,[530:541] 'distinctive' (unsupported),[none],Raw flagged “distinctive”; original DualGraph returned none.
clean_false_positive_corrected,14282,clean,0.0,100.0,[0:41] 'Unable to answer based on given passages.' (contradiction),[none],Raw flagged a meta-level refusal; original DualGraph treated it as non-factual.
clean_false_positive_corrected,13039,clean,0.0,100.0,"[117:156] 'tap on Storage, then Factory data reset' (unsupported)",[none],Raw flagged a supported factory-reset instruction; original DualGraph returned none.
clean_false_positive_corrected,15102,clean,0.0,100.0,[36:77] 'first determine the extent of the tarnish' (unsupported),[none],Raw flagged “first determine the extent of the tarnish”; original DualGraph returned none.
clean_false_positive_corrected,13911,clean,0.0,100.0,[127:167] 'immersive and engaging retail experience' (unsupported); [284:293] 'effective' (unsupported); [537:581] 'making the product interesting and appealing' (unsupported); [705:718] 'make them buy' (unsupported); [1128:1172] 'inviting and persuasive shopping environment' (unsupported),[none],Raw produced multiple stylistic false positives; original DualGraph returned none.
localization_uplift,14806,hallucinated,24.18,76.66,[257:268] '22°C (72°F)' (unsupported); [370:381] '22°C (72°F)' (unsupported),"[127:218] 'Passage 1 provides the current weather conditions for Bucharest, including the temperat...' (unsupported); [220:269] '""Today\'s temperature in Bucharest is 22°C (72°F),' (unsupported); [270:285] 'humidity is 82%' (unsupported); [287:316] 'wind speed is 6 mph (9 km/h).' (unsupported); [319:382] 'Therefore, the current temperature in Bucharest is 22°C (72°F).' (unsupported)",DualGraph expanded a weather hallucination from isolated values to nearly the complete unsupported proposition.
localization_uplift,14396,hallucinated,31.14,57.58,[172:198] 'water and electrolyte loss' (unsupported),"[155:212] 'typically due to water and electrolyte loss, not fat loss' (unsupported)",DualGraph expanded “water and electrolyte loss” to the unsupported causal clause.
localization_uplift,15556,hallucinated,51.48,70.06,"[248:255] 'customs' (unsupported); [610:617] 'customs' (unsupported); [707:749] 'German history, traditions, and daily life' (unsupported); [926:972] 'Berlin, Munich, Cologne, and the Bavarian Alps' (unsupported); [989:1084] 'best times to visit Germany, considering factors such as weather, festivals, and touris...' (unsupported); [1164:1180] 'vacation rentals' (unsupported); ... +5 more","[892:973] 'Some popular destinations include Berlin, Munich, Cologne, and the Bavarian Alps.' (unsupported); [976:1085] 'Research the best times to visit Germany, considering factors such as weather, festival...' (unsupported); [1088:1181] 'Look into different types of accommodations, including hotels, hostels, and vacation re...' (unsupported); [1433:1497] 'Pack appropriately for the season and activities you plan to do.' (unsupported); [1498:1546] ""Don't forget to bring comfortable walking shoes,"" (unsupported); [1547:1595] 'as many German cities are best explored on foot.' (unsupported)",DualGraph improved recall on unsupported travel recommendations.
regression,15485,hallucinated,53.98,0.0,"[155:211] 'does not support or condone the use of third-party apps,' (unsupported); [625:645] 'change your password' (unsupported); [675:713] 'the latest version of the Snapchat app' (unsupported); [787:834] 'contact Snapchat support for further assistance' (unsupported)",[none],Raw detected unsupported Snapchat advice; original DualGraph returned none.
regression,12046,hallucinated,57.87,0.0,[492:560] 'Cook the Porterhouse until it reaches your desired level of doneness' (unsupported); [573:668] 'the passages do not provide specific temperature or time guidelines for cooking the Por...' (unsupported),[none],Raw detected unsupported cooking instruction; original DualGraph returned none.
regression,16851,hallucinated,82.85,0.0,[344:366] 'are round and flexible' (unsupported); [383:435] 'irregular in shape and have a more complex structure' (unsupported); [546:575] 'but at a lower rate than RBCs' (unsupported),[none],Raw detected unsupported RBC/WBC claims; original DualGraph returned none.
